0.05 	0.00125 	0.005 	0.0299181
0.05 	0.00375 	0.005 	0.0304223
0.05 	0.00625 	0.005 	0.0307562
0.05 	0.00875 	0.005 	0.0309477
0.05 	0.01125 	0.005 	0.0310299
0.05 	0.01375 	0.005 	0.0309877
0.05 	0.01625 	0.005 	0.0308014
0.05 	0.01875 	0.005 	0.03045
0.05 	0.02125 	0.005 	0.0299081
0.05 	0.02375 	0.005 	0.029146
0.05 	0.02625 	0.005 	0.0281294
0.05 	0.02875 	0.005 	0.0268194
0.05 	0.03125 	0.005 	0.0251732
0.05 	0.03375 	0.005 	0.0231443
0.05 	0.03625 	0.005 	0.0206833
0.05 	0.03875 	0.005 	0.0177399
0.05 	0.04125 	0.005 	0.0142647
0.05 	0.04375 	0.005 	0.0102127
0.05 	0.04625 	0.005 	0.00554675
0.05 	0.04875 	0.005 	0.000242664
0.05 	0.05125 	0.005 	-0.00570492
0.05 	0.05375 	0.005 	-0.012276
0.05 	0.05625 	0.005 	-0.019418
0.05 	0.05875 	0.005 	-0.0270386
0.05 	0.06125 	0.005 	-0.0349994
0.05 	0.06375 	0.005 	-0.0431116
0.05 	0.06625 	0.005 	-0.051135
0.05 	0.06875 	0.005 	-0.058782
0.05 	0.07125 	0.005 	-0.0657283
0.05 	0.07375 	0.005 	-0.0716314
0.05 	0.07625 	0.005 	-0.0761584
0.05 	0.07875 	0.005 	-0.0790216
0.05 	0.08125 	0.005 	-0.0800192
0.05 	0.08375 	0.005 	-0.0790771
0.05 	0.08625 	0.005 	-0.076281
0.05 	0.08875 	0.005 	-0.0718949
0.05 	0.09125 	0.005 	-0.0663833
0.05 	0.09375 	0.005 	-0.0603503
0.05 	0.09625 	0.005 	-0.0540542
