0.05 	0.000625 	0.005 	-0.00440472 	2.62274e-06 	0
0.05 	0.001875 	0.005 	-0.012707 	1.70647e-05 	0
0.05 	0.003125 	0.005 	-0.0205623 	4.79e-05 	0
0.05 	0.004375 	0.005 	-0.0280222 	9.18279e-05 	0
0.05 	0.005625 	0.005 	-0.0351316 	0.000147058 	0
0.05 	0.006875 	0.005 	-0.0419313 	0.000212707 	0
0.05 	0.008125 	0.005 	-0.0484587 	0.000288049 	0
0.05 	0.009375 	0.005 	-0.0547476 	0.000372539 	0
0.05 	0.010625 	0.005 	-0.0608286 	0.000465849 	0
0.05 	0.011875 	0.005 	-0.0667292 	0.000567849 	0
0.05 	0.013125 	0.005 	-0.0724742 	0.00067859 	0
0.05 	0.014375 	0.005 	-0.0780859 	0.000798294 	0
0.05 	0.015625 	0.005 	-0.083584 	0.000927339 	0
0.05 	0.016875 	0.005 	-0.088986 	0.00106625 	0
0.05 	0.018125 	0.005 	-0.0943072 	0.00121569 	0
0.05 	0.019375 	0.005 	-0.0995607 	0.00137646 	0
0.05 	0.020625 	0.005 	-0.104758 	0.00154946 	0
0.05 	0.021875 	0.005 	-0.109908 	0.00173572 	0
0.05 	0.023125 	0.005 	-0.115018 	0.00193636 	0
0.05 	0.024375 	0.005 	-0.120093 	0.00215259 	0
0.05 	0.025625 	0.005 	-0.125137 	0.00238571 	0
0.05 	0.026875 	0.005 	-0.130152 	0.00263707 	0
0.05 	0.028125 	0.005 	-0.135136 	0.00290809 	0
0.05 	0.029375 	0.005 	-0.140087 	0.00320022 	0
0.05 	0.030625 	0.005 	-0.145001 	0.00351493 	0
0.05 	0.031875 	0.005 	-0.149871 	0.00385369 	0
0.05 	0.033125 	0.005 	-0.154688 	0.00421796 	0
0.05 	0.034375 	0.005 	-0.15944 	0.00460915 	0
0.05 	0.035625 	0.005 	-0.164114 	0.00502859 	0
0.05 	0.036875 	0.005 	-0.168694 	0.00547752 	0
0.05 	0.038125 	0.005 	-0.173161 	0.00595703 	0
0.05 	0.039375 	0.005 	-0.177493 	0.00646804 	0
0.05 	0.040625 	0.005 	-0.181665 	0.00701125 	0
0.05 	0.041875 	0.005 	-0.185651 	0.0075871 	0
0.05 	0.043125 	0.005 	-0.189419 	0.00819572 	0
0.05 	0.044375 	0.005 	-0.192935 	0.00883688 	0
0.05 	0.045625 	0.005 	-0.196162 	0.00950992 	0
0.05 	0.046875 	0.005 	-0.199058 	0.0102137 	0
0.05 	0.048125 	0.005 	-0.20158 	0.0109466 	0
0.05 	0.049375 	0.005 	-0.203677 	0.0117064 	0
0.05 	0.050625 	0.005 	-0.205297 	0.01249 	0
0.05 	0.051875 	0.005 	-0.206384 	0.013294 	0
0.05 	0.053125 	0.005 	-0.206875 	0.0141139 	0
0.05 	0.054375 	0.005 	-0.206706 	0.0149445 	0
0.05 	0.055625 	0.005 	-0.205807 	0.0157798 	0
0.05 	0.056875 	0.005 	-0.204102 	0.0166128 	0
0.05 	0.058125 	0.005 	-0.201514 	0.0174356 	0
0.05 	0.059375 	0.005 	-0.197959 	0.0182395 	0
0.05 	0.060625 	0.005 	-0.193349 	0.0190148 	0
0.05 	0.061875 	0.005 	-0.187592 	0.019751 	0
0.05 	0.063125 	0.005 	-0.180592 	0.0204369 	0
0.05 	0.064375 	0.005 	-0.172251 	0.0210604 	0
0.05 	0.065625 	0.005 	-0.162463 	0.0216091 	0
0.05 	0.066875 	0.005 	-0.151124 	0.0220703 	0
0.05 	0.068125 	0.005 	-0.138124 	0.0224311 	0
0.05 	0.069375 	0.005 	-0.123352 	0.0226787 	0
0.05 	0.070625 	0.005 	-0.106696 	0.0228008 	0
0.05 	0.071875 	0.005 	-0.0880441 	0.0227861 	0
0.05 	0.073125 	0.005 	-0.0672839 	0.0226246 	0
0.05 	0.074375 	0.005 	-0.0443056 	0.0223077 	0
0.05 	0.075625 	0.005 	-0.0190018 	0.0218293 	0
0.05 	0.076875 	0.005 	0.00872985 	0.0211861 	0
0.05 	0.078125 	0.005 	0.0389861 	0.0203775 	0
0.05 	0.079375 	0.005 	0.0718556 	0.0194071 	0
0.05 	0.080625 	0.005 	0.107418 	0.0182823 	0
0.05 	0.081875 	0.005 	0.145739 	0.017015 	0
0.05 	0.083125 	0.005 	0.186873 	0.0156219 	0
0.05 	0.084375 	0.005 	0.230857 	0.0141243 	0
0.05 	0.085625 	0.005 	0.27771 	0.0125484 	0
0.05 	0.086875 	0.005 	0.327428 	0.0109249 	0
0.05 	0.088125 	0.005 	0.379988 	0.00928817 	0
0.05 	0.089375 	0.005 	0.435338 	0.00767576 	0
0.05 	0.090625 	0.005 	0.493402 	0.00612717 	0
0.05 	0.091875 	0.005 	0.554073 	0.00468237 	0
0.05 	0.093125 	0.005 	0.617216 	0.00338011 	0
0.05 	0.094375 	0.005 	0.682667 	0.00225591 	0
0.05 	0.095625 	0.005 	0.750231 	0.00133916 	0
0.05 	0.096875 	0.005 	0.819686 	0.000649888 	0
0.05 	0.098125 	0.005 	0.890784 	0.00020464 	0
0.05 	0.099375 	0.005 	0.963246 	2.26483e-05 	0
