0.0025 	0.195 	0.005 	-2.5758
0.0075 	0.195 	0.005 	-1.66642
0.0125 	0.195 	0.005 	-1.07985
0.0175 	0.195 	0.005 	-0.745908
0.0225 	0.195 	0.005 	-0.530412
0.0275 	0.195 	0.005 	-0.386725
0.0325 	0.195 	0.005 	-0.289401
0.0375 	0.195 	0.005 	-0.218919
0.0425 	0.195 	0.005 	-0.162128
0.0475 	0.195 	0.005 	-0.11025
0.0525 	0.195 	0.005 	-0.0566123
0.0575 	0.195 	0.005 	0.00483223
0.0625 	0.195 	0.005 	0.0807746
0.0675 	0.195 	0.005 	0.180019
0.0725 	0.195 	0.005 	0.315885
0.0775 	0.195 	0.005 	0.509038
0.0825 	0.195 	0.005 	0.787542
0.0875 	0.195 	0.005 	1.1979
0.0925 	0.195 	0.005 	1.87325
0.0975 	0.195 	0.005 	2.88614
