0.0025 	0.1 	0.005 	0.293167 	0.148912 	0
0.0075 	0.1 	0.005 	0.389684 	0.127935 	0
0.0125 	0.1 	0.005 	0.557571 	0.0757877 	0
0.0175 	0.1 	0.005 	0.674657 	0.0433477 	0
0.0225 	0.1 	0.005 	0.743578 	0.0251912 	0
0.0275 	0.1 	0.005 	0.786724 	0.0149004 	0
0.0325 	0.1 	0.005 	0.814954 	0.00894041 	0
0.0375 	0.1 	0.005 	0.833304 	0.00531444 	0
0.0425 	0.1 	0.005 	0.844641 	0.00290469 	0
0.0475 	0.1 	0.005 	0.850581 	0.00109372 	0
0.0525 	0.1 	0.005 	0.851875 	-0.000490469 	0
0.0575 	0.1 	0.005 	0.848634 	-0.00214675 	0
0.0625 	0.1 	0.005 	0.840333 	-0.00420671 	0
0.0675 	0.1 	0.005 	0.825581 	-0.00722069 	0
0.0725 	0.1 	0.005 	0.801615 	-0.0122518 	0
0.0775 	0.1 	0.005 	0.763267 	-0.0214209 	0
0.0825 	0.1 	0.005 	0.699258 	-0.0388826 	0
0.0875 	0.1 	0.005 	0.584365 	-0.0723179 	0
0.0925 	0.1 	0.005 	0.40933 	-0.128331 	0
0.0975 	0.1 	0.005 	0.302184 	-0.152212 	0
